Promise_ID,Category,Promise_Title,Description,Target_Beneficiaries,Implementation_Status,Policy_Instrument_or_Budget,Effective_Date_or_Timeline,Notes
WOM-01,Women & Child,Madhippumigu Magalir Thittam,Rs 2500 monthly grant for each woman,Each woman,Pending,Operational Framework under draft,Post-May 2026,Excludes government employee households
WOM-02,Women & Child,Annapoorani Super Six Scheme,6 free LPG cooking cylinders per year,Eligible households,Partially Implemented,Assembly Statement / DBT Credit,Post-May 2026,Phase 1 initialized for 3 cylinders/year via Direct Benefit Transfer
WOM-03,Women & Child,Annan Seer Thittam,8 grams (1 sovereign) gold coin + quality silk saree for low-income brides,Low-income brides,Budget Allocated,Rs 812.00 Crore (August 2026 Budget),August 2026,Official state budget line assigned
WOM-04,Women & Child,Thaaimaaman Thanga Mothira Thittam,Gold ring and baby welcome kit for newborns in government hospitals,Newborns in Govt Hospitals,Budget Allocated,Rs 560.00 Crore/year (August 2026 Budget),June 2026,Expanded from municipal level to statewide
WOM-05,Women & Child,Vetri Payanam Scheme,Fare-free bus travel on Express LSS Deluxe urban & mofussil buses,Women & Transgender individuals,Implemented,GO issued May 10 2026,October 2 2026,No income ceiling or trip restrictions
WOM-06,Women & Child,Singapen Protection Force,Special all-female police unit for public space safety,Public / Women,Implemented,GO issued May 10 2026 (Rs 354.67 Crore),June 9 2026,Active deployment in high-density areas
WOM-07,Women & Child,Girl Student Dropout Prevention Grant,Rs 15000 annual support to mothers of schoolgirls Classes 1-12,Mothers of school-going girls,Pending,Under Review,Pending,Aims to reduce female dropout rates
WOM-08,Women & Child,Women SHG Support,Financial grant up to Rs 5 Lakh for registered SHGs,Registered Women SHGs,Pending,Under Review,Pending,Direct financial assistance
WOM-09,Women & Child,Anjalai Ammal Fast-Track Courts,District fast-track courts for 90-day trial of crimes against women,Women,Pending,Under Review,Pending,Legal framework required
WOM-10,Women & Child,Zero Dark Spot & Universal Hygiene,AI-CCTV LED lighting & free sanitary pads in schools/colleges/ration shops,Women & Girls,Pending,Under Review,Pending,Public safety & health infrastructure
YTH-01,Youth & Education,CM People Service Associate Program,500000 rural youth public service jobs at Rs 18000/month,Unemployed Rural Youth,Pending,Under Review,Pending,Village-level deployment target
YTH-02,Youth & Education,Unemployment Support Stipends,Monthly stipends: Rs 4000 Graduates, Rs 2500 Diploma, Rs 8000 ITI,Unemployed Youth,Pending,"Under Review, Pending, Tiered monthly assistance"
YTH-03,Youth & Education,Collateral-Free Higher Education Loans,State-guaranteed education loans up to Rs 20-25 Lakh,Students (Class 12 to PhD),Pending,Under Review,Pending,Covers professional and higher studies
YTH-04,Youth & Education,Vetri Free Laptop Scheme,Free laptops for college students across state institutions,Tertiary Education Students,Budget Allocated,Rs 2000.00 Crore/year (August 2026 Budget),August 2026,Replaces previous DMK Ulagam Ungal Kaiyil allocation
